Descriptions of numbers 0-9 respectively using Assignment 7

1 =		[0.3094099, 0.7033493, 0.0, 0.0, 0.61244017, 0.0, 0.28548643, 0.72727275, 0.28548643]
2 =	  [0.3121212, 0.34848484, 0.55454546, 0.0, 0.25, 0.3969697, 0.5863636, 0.4969697, 0.28787878]
3 =		[0.27058825, 0.30147058, 0.5588235, 0.15294118, 0.3867647, 0.51911765, 0.31764707, 0.29411766, 0.59117645]
4 =		[0.0065876152, 0.42687747, 0.42160738, 0.38735178, 0.052700922, 0.42160738, 0.31752306, 0.3188406, 0.6350461]
5 =		[0.56666666, 0.31666666, 0.23939393, 0.33333334, 0.33030304, 0.48333332, 0.3151515, 0.30454546, 0.56969696]
6 =		[0.41036415, 0.3067227, 0.2507003, 0.6442577, 0.30252102, 0.49019608, 0.52380955, 0.29691878, 0.51960784]
7 =		[0.31746033, 0.31746033, 0.6926407, 0.0, 0.36507937, 0.1904762, 0.14718615, 0.45021644, 0.0]
8 =		[0.4973262, 0.26604277, 0.51336896, 0.42780748, 0.46122995, 0.4331551, 0.54278076, 0.2606952, 0.52272725]
9 =		[0.5154062, 0.29411766, 0.53361344, 0.47619048, 0.30532214, 0.6554622, 0.2647059, 0.30532214, 0.41736695]
0 =		[0.45721924, 0.29545453, 0.53475934, 0.5294118, 0.0, 0.5294118, 0.5, 0.29946524, 0.4973262]
